805,17:40:41.4254,-53:40:28.3656,17.3107 
806,17:40:40.8866,-53:40:28.362,17.8655 
807,17:40:42.2851,-53:40:28.3296,17.9033 
808,17:40:41.6095,-53:40:28.2612,17.9162 
810,17:40:42.3264,-53:40:28.2216,17.5124 
812,17:40:42.4598,-53:40:28.164,17.3498 
813,17:40:39.1846,-53:40:28.092,16.851 
814,17:40:46.3606,-53:40:28.0308,13.9093 
815,17:40:43.6368,-53:40:27.9768,16.6906 
816,17:40:42.6187,-53:40:27.912,19.0116 
817,17:40:43.836,-53:40:27.8976,17.8431 
819,17:40:38.7758,-53:40:27.822,17.2998 
822,17:40:45.7102,-53:40:27.678,15.6637 
823,17:40:43.3764,-53:40:27.6204,17.2399 
824,17:40:42.1903,-53:40:27.606,17.2977 
825,17:40:42.1428,-53:40:27.6024,17.7334 
828,17:40:43.7294,-53:40:27.5556,17.6469 
829,17:40:42.6235,-53:40:27.498,17.3159 
830,17:40:41.4485,-53:40:27.4692,17.7583 
831,17:40:42.7702,-53:40:27.4152,17.9198 
833,17:40:43.2542,-53:40:27.2748,17.7674 
834,17:40:42.8462,-53:40:27.1704,17.7623 
835,17:40:41.6758,-53:40:27.1524,15.9899 
836,17:40:43.3822,-53:40:27.1056,17.8297 
837,17:40:44.0856,-53:40:27.0552,17.1936 
838,17:40:41.0899,-53:40:27.0516,17.5589 
840,17:40:44.5406,-53:40:26.8572,17.7947 
841,17:40:42.0598,-53:40:26.8608,15.203 
842,17:40:41.5399,-53:40:26.7708,16.607 
843,17:40:40.349,-53:40:26.7744,16.9453 
850,17:40:45.3132,-53:40:26.4972,17.9811 
851,17:40:40.6169,-53:40:26.4864,17.5933 
852,17:40:39.2441,-53:40:26.5008,17.3878 
853,17:40:43.5101,-53:40:26.3928,13.9842 
854,17:40:41.7269,-53:40:26.328,17.7419 
856,17:40:42.9854,-53:40:26.2776,17.2667 
857,17:40:42.383,-53:40:26.13,17.9511 
858,17:40:44.9306,-53:40:26.1048,17.3823 
859,17:40:42.9005,-53:40:26.022,17.221 
860,17:40:42.3487,-53:40:25.9212,17.2271 
861,17:40:41.693,-53:40:25.7196,17.4821 
862,17:40:38.947,-53:40:25.6908,17.4798 
864,17:40:41.4336,-53:40:25.6152,17.4662 
865,17:40:42.0096,-53:40:25.5396,15.3174 
866,17:40:44.593,-53:40:25.4352,17.1757 
868,17:40:41.143,-53:40:25.3308,17.3005 
869,17:40:45.4174,-53:40:25.2768,16.3833 
871,17:40:39.5297,-53:40:25.1472,17.183 
872,17:40:39.9694,-53:40:24.9312,16.0001 
874,17:40:41.2378,-53:40:24.8916,13.8899 
879,17:40:44.3506,-53:40:24.6072,17.7382 
881,17:40:42.5074,-53:40:24.492,17.6843 
884,17:40:39.6542,-53:40:24.2508,17.7051 
888,17:40:45.0737,-53:40:23.934,17.8669 
889,17:40:41.7842,-53:40:23.9736,15.9986 
890,17:40:41.5913,-53:40:23.8728,16.4206 
891,17:40:41.4266,-53:40:23.7756,17.1944 
893,17:40:42.4694,-53:40:23.6064,17.4813 
894,17:40:39.4918,-53:40:23.556,17.2357 
896,17:40:42.2153,-53:40:23.4264,17.7927 
897,17:40:39.0972,-53:40:23.4228,17.6173 
900,17:40:41.922,-53:40:23.2608,16.6788 
903,17:40:40.3219,-53:40:23.16,17.8234 
907,17:40:40.956,-53:40:22.7244,17.8769 
908,17:40:42.3154,-53:40:22.4256,17.8045 
909,17:40:40.2197,-53:40:22.4472,17.7554 
910,17:40:39.3578,-53:40:22.4148,17.2491 
911,17:40:45.7894,-53:40:22.3248,17.6431 
913,17:40:46.691,-53:40:22.1664,13.9611 
914,17:40:45.6586,-53:40:22.0044,17.9445 
915,17:40:42.4819,-53:40:21.8352,17.1987 
917,17:40:41.19,-53:40:21.6984,17.0706 
919,17:40:45.3941,-53:40:21.5796,17.3906 
920,17:40:42.8671,-53:40:21.5328,17.3512 
923,17:40:41.5853,-53:40:20.8704,16.0003 
924,17:40:39.3072,-53:40:20.748,17.6719 
925,17:40:39.1754,-53:40:20.6004,17.7408 
927,17:40:42.9122,-53:40:20.2224,17.5554 
929,17:40:42.1874,-53:40:20.1936,15.9987 
930,17:40:40.9418,-53:40:20.1324,17.5186 
932,17:40:42.1313,-53:40:20.1,17.5819 
934,17:40:42.2422,-53:40:20.0964,16.9374 
935,17:40:41.1758,-53:40:20.0316,16.6042 
936,17:40:42.275,-53:40:19.9848,17.5294 
937,17:40:41.983,-53:40:19.974,17.8978 
938,17:40:44.2435,-53:40:19.902,17.8475 
939,17:40:43.4328,-53:40:19.7364,13.9184 
941,17:40:39.4764,-53:40:19.6104,17.2879 
942,17:40:42.1879,-53:40:19.5888,24.0309 
943,17:40:44.3311,-53:40:19.3188,17.9686 
946,17:40:43.1047,-53:40:19.02,17.3269 
947,17:40:40.0464,-53:40:18.8652,17.3602 
950,17:40:39.7332,-53:40:18.5952,13.9903 
951,17:40:39.5287,-53:40:18.5196,17.6474 
953,17:40:43.1465,-53:40:18.3216,17.2664 
959,17:40:40.5979,-53:40:17.2812,17.2976 
960,17:40:39.2172,-53:40:17.0868,17.5943 
962,17:40:39.497,-53:40:17.04,17.8734 
963,17:40:40.3596,-53:40:16.8924,17.5478 
965,17:40:38.8558,-53:40:16.8132,17.6641 
969,17:40:44.0107,-53:40:16.5396,17.3259 
970,17:40:46.1431,-53:40:16.482,17.8206 
971,17:40:43.2953,-53:40:16.4496,17.535 
972,17:40:44.6479,-53:40:16.4136,17.7403 
974,17:40:41.6366,-53:40:16.2228,17.207 
975,17:40:42.5006,-53:40:16.2048,17.5239 
976,17:40:42.3062,-53:40:16.1544,17.135 
980,17:40:43.6932,-53:40:15.6684,17.9031 
981,17:40:39.192,-53:40:15.6828,17.2278 
985,17:40:42.8333,-53:40:15.4164,17.3319 
986,17:40:39.9586,-53:40:15.3768,13.9356 
987,17:40:42.6314,-53:40:14.826,17.3369 
988,17:40:40.7064,-53:40:14.772,17.8262 
991,17:40:42.1565,-53:40:14.2572,17.5432 
994,17:40:39.2405,-53:40:14.1816,17.1937 
996,17:40:41.5927,-53:40:14.0772,27.9625 
998,17:40:46.0579,-53:40:13.944,17.2033 
999,17:40:46.3378,-53:40:13.8468,17.6439 
1000,17:40:40.6728,-53:40:13.8252,13.8706 
1003,17:40:42.6322,-53:40:13.7892,17.1761 
1004,17:40:39.0806,-53:40:13.7352,17.7391 
1007,17:40:41.2087,-53:40:13.6128,16.012 
1008,17:40:40.9423,-53:40:13.5264,17.7966 
1011,17:40:43.566,-53:40:13.35,17.1964 
1012,17:40:42.5064,-53:40:13.3572,17.526 
1013,17:40:41.1821,-53:40:13.332,24.3035 
1019,17:40:39.0089,-53:40:12.5328,14.0254 
1020,17:40:41.7408,-53:40:12.432,17.6182 
1022,17:40:39.0427,-53:40:12.2124,18.0021 
1025,17:40:43.0248,-53:40:12.1836,17.2069 
1028,17:40:43.0646,-53:40:12.0252,17.0713 
1031,17:40:42.0826,-53:40:11.8524,17.4479 
